# stage, id, task_id, link_type, link_id, artifact_type, file_name, target_file
'Before', '1755', '149', 'test_metrics', '215', 'output_set', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.set', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'Before', '1756', '149', 'test_metrics', '215', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'Before', '1757', '149', 'test_metrics', '215', 'output_html', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.htm', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'Before', '1758', '149', 'test_metrics', '215', 'output_gif', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.gif', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'After', '1755', '149', 'test_metrics', '215', 'output_set', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.set', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'After', '1756', '149', 'test_metrics', '215', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'After', '1757', '149', 'test_metrics', '215', 'output_html', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.htm', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'After', '1758', '149', 'test_metrics', '215', 'output_gif', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194.gif', 'PX3.71_EURCHF_M30_1500_P277_DD268_20220930-20250929_SL400_WR47.92_PF2.09_T48_M1406717436_V1_S194'
'Before', '1754', '149', 'test_metrics', '215', 'input_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'After', '1754', '149', 'test_metrics', '215', 'input_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'Before', '1752', '149', 'test_metrics', '215', 'input_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'After', '1752', '149', 'test_metrics', '215', 'input_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'Before', '1753', '149', 'test_metrics', '215', 'input_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'After', '1753', '149', 'test_metrics', '215', 'input_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61'
'Before', '1759', '149', NULL, NULL, 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set'
'After', '1759', '149', 'test_metrics', '215', 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-61.set'
'Before', '1747', '149', 'test_metrics', '214', 'output_set', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.set', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'Before', '1748', '149', 'test_metrics', '214', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'Before', '1749', '149', 'test_metrics', '214', 'output_html', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.htm', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'Before', '1750', '149', 'test_metrics', '214', 'output_gif', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.gif', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'After', '1747', '149', 'test_metrics', '214', 'output_set', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.set', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'After', '1748', '149', 'test_metrics', '214', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'After', '1749', '149', 'test_metrics', '214', 'output_html', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.htm', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'After', '1750', '149', 'test_metrics', '214', 'output_gif', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193.gif', 'PX3.71_EURCHF_M30_1500_P192_DD138_20220930-20250929_SL200_WR51.72_PF2.21_T29_M1406717436_V1_S193'
'Before', '1746', '149', 'test_metrics', '214', 'input_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'After', '1746', '149', 'test_metrics', '214', 'input_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'Before', '1744', '149', 'test_metrics', '214', 'input_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'After', '1744', '149', 'test_metrics', '214', 'input_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'Before', '1745', '149', 'test_metrics', '214', 'input_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'After', '1745', '149', 'test_metrics', '214', 'input_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6'
'Before', '1751', '149', NULL, NULL, 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set'
'After', '1751', '149', 'test_metrics', '214', 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-6.set'
'Before', '1734', '149', 'test_metrics', '213', 'output_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1735', '149', 'test_metrics', '213', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1736', '149', 'test_metrics', '213', 'output_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1737', '149', 'test_metrics', '213', 'output_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1738', '149', 'test_metrics', '213', 'ai_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1739', '149', 'test_metrics', '213', 'ai_json', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1740', '149', 'test_metrics', '213', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1741', '149', NULL, NULL, 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1742', '149', 'optimization_reports', '49', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1743', '149', 'optimization_reports', '49', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1734', '149', 'test_metrics', '213', 'output_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1735', '149', 'test_metrics', '213', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1736', '149', 'test_metrics', '213', 'output_html', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1737', '149', 'test_metrics', '213', 'output_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1738', '149', 'test_metrics', '213', 'ai_set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1739', '149', 'test_metrics', '213', 'ai_json', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1740', '149', 'test_metrics', '213', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1741', '149', 'test_metrics', '213', 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1742', '149', 'test_metrics', '213', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'After', '1743', '149', 'test_metrics', '213', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P3095_DD793_20220930-20250929_SL900_WR54.59_PF1.94_T370_M1406717436_V1_S192'
'Before', '1733', '149', 'test_metrics', '213', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1733', '149', 'test_metrics', '213', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1731', '149', 'test_metrics', '213', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1731', '149', 'test_metrics', '213', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1732', '149', 'test_metrics', '213', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1732', '149', 'test_metrics', '213', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1730', '149', NULL, NULL, 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'After', '1730', '149', 'test_metrics', '213', 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'Before', '1725', '149', 'test_metrics', '212', 'output_set', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.set', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'Before', '1726', '149', 'test_metrics', '212', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'Before', '1727', '149', 'test_metrics', '212', 'output_html', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.htm', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'Before', '1728', '149', 'test_metrics', '212', 'output_gif', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.gif', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'After', '1725', '149', 'test_metrics', '212', 'output_set', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.set', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'After', '1726', '149', 'test_metrics', '212', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'After', '1727', '149', 'test_metrics', '212', 'output_html', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.htm', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'After', '1728', '149', 'test_metrics', '212', 'output_gif', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190.gif', 'PX3.71_EURCHF_M30_1500_P3111_DD793_20220929-20250926_SL900_WR54.89_PF1.95_T368_M1406717436_V1_S190'
'Before', '1724', '149', 'test_metrics', '212', 'input_gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-122-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-122'
